date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:24	1/1	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2015%20Jul%202019%2011:07:21%20GMT	https://eventify.ng/robots.txt		(from )
12:07:25	82828/82828	---M--	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2011:07:21%20GMT	https://eventify.ng/	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/index.html	(from )
12:07:43	22084/22084	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-5644%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.min.css	C:/Users/PASS.NG/Desktop/eventify/cdnjs.cloudflare.com/ajax/libs/font-awesome/3.2.1/css/font-awesome.min.css	(from https://eventify.ng/)
12:07:44	5537/5537	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4aa2-15a1%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/js/toastr.min.js	C:/Users/PASS.NG/Desktop/eventify/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/js/toastr.min.js	(from https://eventify.ng/)
12:07:44	6741/6741	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ae5-1a55%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.css	C:/Users/PASS.NG/Desktop/eventify/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/css/toastr.min.css	(from https://eventify.ng/)
12:07:48	140930/140930	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Sep%202018%2009:58:32%20GMT	https://eventify.ng/assets/css/bootstrap.min.css	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/bootstrap.min.css	(from https://eventify.ng/)
12:07:48	25253/25253	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Sep%202018%2009:58:33%20GMT	https://eventify.ng/assets/css/elegant-icons.css	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/elegant-icons.css	(from https://eventify.ng/)
12:07:49	23848/23848	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Sep%202018%2009:58:32%20GMT	https://eventify.ng/assets/css/animate.css	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/animate.css	(from https://eventify.ng/)
12:07:49	4232/4232	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Sep%202018%2009:58:34%20GMT	https://eventify.ng/assets/css/owl.carousel.min.css	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/owl.carousel.min.css	(from https://eventify.ng/)
12:07:50	950/950	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Sep%202018%2009:58:34%20GMT	https://eventify.ng/assets/css/owl.theme.default.min.css	C:/Users/PASS.NG/Desktop/eventify/eventify.ng/assets/css/owl.theme.default.min.css	(from https://eventify.ng/)
